"AVOID_MAN_CD","BODY_TYPE","COMM_VEH","CRN","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","OWNER_DRIVER","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE","VEH_TYPE","PARTIAL_VIN","VINA_BODY_TYPE_CD"
"","04","N","2019004658","2","1","","1","11","Y","FORD","2005","01","1","","2","00","N","999","0","","1","01","01","05","11","PA","1","01","1FAFP23115G","P4D"
"","51","N","2019004743","3","1","","1","12","Y","DODG","1998","01","1","","1","00","E","999","0","","1","01","99","01","01","PA","1","04","1B7HF16Y6WS","TPK"
"","04","N","2019003728","3","1","","3","01","Y","MERC","2006","01","1","","1","00","S","030","0","","1","01","05","01","01","PA","1","01","3MEFM08136R","P4D"
"","02","N","2019005035","2","1","","1","04","Y","HOND","2002","01","1","","1","00","E","999","0","","1","01","03","05","01","PA","2","01","1HGEM22952L","PCP"
"","09","N","2019004016","3","1","","1","11","Y","NISS","2017","01","1","","1","00","S","999","0","","2","01","03","01","06","PA","2","01","1N4AL3AP6HC","P"
"","39","Y","2019004933","1","1","","1","01","Y","VNHL","2007","03","1","","1","12","S","035","0","","1","01","03","15","03","PA","1","03","YE2CC26B172","TBU"
"","69","N","2019000018","3","1","","3","12","Y","JEEP","2018","01","1","","1","00","N","999","0","","1","01","05","01","03","PA","1","06","3C4NJDBB5JT","T"
"","39","Y","2019004343","1","1","","1","07","Y","BLUI","2008","02","1","","1","00","N","000","0","","1","01","06","03","01","PA","2","03","1BAKGCKA78F","TBU"
"","15","N","2019000295","1","1","","1","06","Y","CHEV","2001","02","1","","1","00","E","000","0","","2","01","03","03","01","PA","2","06","1GNDT13W912","T4W"
"","04","N","2019000416","2","1","","1","12","Y","ACUR","2014","02","1","","2","00","N","999","0","","1","01","05","98","07","PA","1","01","JH4KC1F96EC","P4D"
"","40","N","2019004518","3","1","","1","07","Y","DODG","2016","02","1","","1","00","S","000","0","","3","01","03","03","03","PA","3","07","2C4RDGBG9GR","TSV"
"","09","N","2019004541","3","3","","4","12","Y","HYUN","2018","02","1","","1","00","E","045","0","","1","01","07","01","03","PA","1","01","5NPE24AF2JH","P"
"","04","N","2019004586","3","1","","2","12","Y","MERC","2007","02","2","","1","00","S","045","0","","1","01","05","01","01","PA","1","01","1MEHM40187G","P4D"
"","41","N","2019002222","2","1","","1","06","Y","CHEV","2016","02","1","","1","00","N","000","0","","1","01","03","03","03","PA","2","07","1GCWGAFG4G1","TCG"
"","04","N","2019001361","3","1","","1","11","Y","SUBA","2014","02","2","","1","00","S","999","0","","1","01","02","12","01","PA","1","01","JF1GJAC68EH","P4D"
"","09","N","2019002852","3","1","","1","12","Y","FORD","2017","01","1","","1","00","N","999","0","","1","01","03","01","06","PA","1","01","1FAHP2F8XHG","P"
"","15","N","2019003486","3","1","","4","12","Y","HOND","2016","01","1","","4","00","E","040","0","","1","01","03","16","01","PA","1","06","5J6RM4H48GL","T4W"
"","69","Y","2019002397","3","1","","3","10","Y","INTL","2019","02","1","","1","00","E","070","0","","1","01","03","01","01","VA","1","05","1HTMMMML0KH","T"
"","04","N","2019017522","3","1","","1","10","Y","TOYT","2010","02","1","","1","00","S","005","0","","1","01","02","15","03","PA","1","01","2T1BU4EE4AC","P4D"
"","04","N","2019001222","2","1","","2","05","Y","AUDI","2013","01","1","","1","00","S","999","0","","3","01","05","02","03","PA","2","01","WAUFFAFL0DN","P4D"
"","15","N","2019001222","3","1","","2","02","Y","JEEP","2014","01","1","","1","00","S","999","0","","1","01","02","01","03","PA","1","06","1C4PJMCB5EW","T4W"
"","04","N","2019001900","1","1","","1","09","Y","CHRY","2015","01","1","","1","00","S","999","0","","2","01","03","01","06","PA","3","01","1C3CCCAB7FN","P4D"
"","04","N","2019002070","1","1","","3","05","Y","TOYT","2009","01","1","","1","00","E","030","0","","1","01","02","12","01","PA","1","01","4T4BE46K19R","P4D"
"","69","N","2019003462","2","1","","1","06","Y","JEEP","2018","01","1","","1","00","E","999","0","","2","01","05","01","01","PA","2","06","1C4PJMLB5JD","T"
"","69","N","2019002469","1","1","","1","12","Y","CHEV","2018","01","2","","2","00","N","010","0","","1","01","12","10","02","PA","1","01","2GNAXSEV5J6","T"
"","","","2019002824","","","","","","","","","","1","","","","","","","","2","31","","","","","2","","",""
"","09","N","2019016898","2","1","","1","02","Y","HOND","2018","01","1","","1","00","W","999","0","","1","01","07","01","01","DE","2","01","1HGCV1F55JA","P"
"","51","N","2019013975","3","1","","3","12","Y","DODG","2011","02","1","","1","00","E","999","0","","2","01","04","01","01","PA","1","01","1D7RV1GT3BS","TCW"
"","04","N","2019015969","3","3","","1","12","Y","DODG","2010","02","2","","1","00","W","999","0","","1","01","07","01","06","PA","1","01","1B3CC5FB5AN","P4D"
"","69","N","2019012969","2","1","","1","00","Y","CHEV","2018","01","2","","1","00","S","040","0","","1","01","01","01","01","PA","0","01","3GCUKSEC1JG","T"
"","04","N","2019013059","3","1","","1","02","Y","BUIC","1999","02","1","","1","00","E","999","0","","1","01","11","04","01","PA","1","01","2G4WB52K0X1","P4D"
"","15","N","2019013148","2","1","","1","03","Y","JEEP","2016","01","2","","1","00","S","999","0","","2","01","12","01","03","PA","2","01","1C4NJPFAXGD","T4W"
"","04","N","2019014253","3","2","","1","10","Y","CADI","2009","","0","","1","12","","000","0","","2","02","05","06","01","PA","2","01","1G6KD57Y79U","P4D"
"","40","N","2019014273","1","1","","1","07","Y","TOYT","2005","02","1","","1","00","S","999","0","","3","01","01","01","01","PA","1","07","5TDZA22C35S","TSV"
"","69","Y","2019013413","3","1","","1","01","Y","FRHT","2018","02","1","","4","00","N","060","1","","1","01","03","16","03","IN","1","05","3AKJGEDV6JS","T"
"","04","N","2019015373","2","2","","1","02","Y","CHEV","2012","","0","","1","00","","000","0","","2","02","03","06","02","PA","3","01","2G1WG5E34C1","P4D"
"","51","N","2019015468","1","2","","2","06","Y","FORD","2013","","0","","1","00","N","000","0","","2","02","03","03","01","PA","2","04","1FDUF5HY1DE","TCB"
"","69","N","2019015485","1","1","","1","06","Y","CHEV","2019","03","1","","1","00","N","999","0","","2","01","12","02","01","OK","2","06","1GNSKHKC0KR","T"
"","15","N","2019013555","2","2","","3","07","Y","SUBA","2011","","0","","1","00","","000","0","","2","02","03","06","01","PA","2","01","4S4BRDLC3B2","T4W"
"","51","N","2019014565","3","1","","2","12","U","HOND","2009","02","1","","1","00","N","999","0","","1","01","12","01","01","PA","1","01","2HJYK16229H","TCW"
"","51","N","2019016491","2","1","","1","06","Y","FORD","2013","01","2","","1","00","E","025","","","2","01","07","02","01","PA","2","04","1FTEX1EMXDK","T4C"
"","09","N","2019015576","3","1","","1","06","Y","CHRY","2017","02","1","","1","00","E","005","0","","2","01","03","02","03","PA","2","01","2C3CCARG8HH","P"
"","15","N","2019015594","1","1","","1","06","Y","MAZD","2014","01","2","","1","00","W","000","0","","2","01","12","03","03","PA","2","06","JM3KE2CY2E0","T4W"
"","05","N","2019016574","3","1","","1","01","Y","HOND","2012","01","1","","1","00","N","045","","","1","01","12","01","03","PA","1","01","JHMGE8H55CC","P4H"
"","05","N","2019015675","2","1","","2","12","Y","TOYT","2008","01","2","","1","00","S","999","0","","1","01","12","02","01","PA","1","01","JTDKB20U783","P4H"
"","","","2019013756","","","","","","","","","","1","","","","","","","","3","31","","","","","2","","",""
"2","15","N","2019014706","2","1","0","1","11","Y","JEEP","2008","01","1","11","1","00","S","999","0","0","5","01","03","01","03","PA","2","06","1J8GR48K68C","T4W"
"","04","N","2019016736","2","1","","2","06","Y","LEXS","2008","02","1","","1","00","W","000","0","","2","01","05","03","03","MD","2","01","JTHCK262682","P4D"
"","15","N","2019026057","3","1","","3","04","Y","JEEP","2014","98","1","","4","00","N","999","","","1","01","05","16","01","PA","1","06","1C4NJDEB1ED","T4W"
"","09","N","2019025015","3","1","","3","07","Y","NISS","2017","03","2","","1","00","S","999","0","","2","01","02","01","01","PA","2","01","3N1AB7AP1HL","P"
"","04","N","2019026167","3","1","","3","11","Y","BUIC","2006","01","1","","1","00","W","040","0","","2","01","07","01","01","PA","1","01","1G4HD57206U","P4D"
"","04","N","2019023975","2","1","","1","11","Y","BUIC","1997","01","2","","1","00","S","999","0","","2","01","04","01","13","PA","1","01","1G4HP52K9VH","P4D"
"","06","N","2019021821","3","1","","1","11","Y","SUBA","2006","01","1","","1","00","S","015","0","","1","01","07","01","01","PA","1","01","4S4BP61CX67","PSW"
"","04","N","2019021857","2","1","","1","11","Y","CHEV","2013","02","1","","1","00","S","055","0","","1","01","03","01","06","PA","1","01","1G11F5SR1DF","P4D"
"","15","N","2019025240","3","1","","1","01","Y","ACUR","2004","01","1","","1","00","N","999","0","","1","01","05","01","01","PA","1","01","2HNYD18924H","T4W"
"","06","N","2019021899","2","1","","1","06","Y","SUBA","2012","01","1","","1","00","N","000","0","","2","01","01","03","01","PA","2","01","JF1GPAC64CH","PSW"
"","04","N","2019023053","3","1","","1","09","Y","CHEV","2015","01","1","","1","13","S","005","0","","2","01","02","05","11","PA","2","01","1G1PA5SG6F7","P4D"
"","15","N","2019024213","1","1","","2","11","Y","CHEV","2015","02","1","","1","01","E","999","0","","2","01","03","01","06","PA","2","06","1GNSK3EC4FR","T4W"
"","04","N","2019023107","3","1","","1","09","Y","CHRY","2005","01","3","","1","00","W","025","0","","2","01","07","01","06","PA","2","01","2C3JA63H95H","P4D"
"","50","N","2019024284","1","1","","1","12","Y","CHEV","2011","01","1","","1","00","W","999","0","","2","01","04","01","01","PA","1","01","3GNTKFE36BG","TSP"
"","02","N","2019025422","3","1","","1","12","Y","HOND","1996","01","2","","1","00","E","030","0","","1","01","02","01","01","PA","1","01","1HGEJ8243TL","PCP"
"","04","N","2019025488","3","1","","5","03","Y","CHEV","2015","01","2","","4","00","N","065","0","","1","01","07","16","03","PA","1","01","2G1165S32F9","P4D"
"","15","N","2019024479","2","1","","1","06","Y","HOND","2011","01","1","","1","00","S","000","0","","2","01","12","03","01","PA","2","06","5J6RE4H42BL","T4W"
"","15","N","2019024552","3","1","","1","12","Y","JEEP","2002","02","1","","1","00","E","999","","","1","01","09","01","09","PA","1","06","1J8GL58K72W","T4W"
"","04","N","2019023438","3","1","","1","06","Y","BUIC","2011","01","2","","1","00","E","000","0","","2","01","07","03","03","PA","2","01","2G4GR5EC5B9","P4D"
"","09","N","2019023619","2","1","","1","06","Y","NISS","2018","01","2","","1","00","E","000","0","","2","01","03","03","06","PA","2","01","JN1BJ1CR1JW","P"
"","04","N","2019022454","1","1","","5","06","Y","TOYT","2007","01","2","","1","00","N","999","","","2","01","01","02","03","PA","2","01","4T1BE46K07U","P4D"
"7","51","N","2019025804","3","1","0","3","09","N","GMC","1998","02","1","03","1","00","W","999","0","0","1","01","04","01","07","PA","1","04","1GTCS19X6W8","TPC"
"","04","N","2019025912","3","1","","1","12","Y","SUBA","2007","01","1","","1","00","W","040","0","","1","01","01","01","03","PA","1","01","4S3BL616377","P4D"
"","51","N","2019023804","3","1","","3","01","Y","CHEV","2005","01","1","","1","00","S","020","0","","1","01","07","01","01","PA","1","04","1GCCS138758","TCW"
"","09","N","2019022691","3","1","","2","11","Y","HYUN","2018","01","1","","1","00","S","000","0","","2","01","03","03","01","PA","2","01","3KPC24A38JE","P"
"","40","N","2019008687","3","1","","1","12","Y","TOYT","2017","01","1","","1","00","N","999","0","","2","01","07","01","01","PA","2","07","5TDDZ3DC6HS","TSV"
"","01","N","2019005846","3","1","","3","12","Y","CHEV","2013","01","1","","1","00","S","999","","","1","01","07","01","01","PA","1","01","2G1FC3D36D9","PCV"
"","09","N","2019006805","3","1","","1","06","Y","SUBA","2018","01","1","","1","00","S","000","0","","2","01","01","03","01","PA","3","01","4S3GTAB63J3","P"
"","15","N","2019007958","2","1","","1","00","Y","JEEP","2014","01","1","","1","00","N","055","0","","2","01","02","01","01","PA","0","06","1C4NJDBB2ED","T4W"
"","04","N","2019006977","3","1","","1","12","Y","BUIC","2000","01","1","","1","00","N","025","0","","1","01","03","01","07","PA","1","01","2G4WB55K6Y1","P4D"
"","04","N","2019005223","3","1","","1","11","Y","FORD","2016","01","1","","1","00","W","099","","","1","01","99","10","08","PA","1","01","3FA6P0HD2GR","P4D"
"","04","N","2019005279","3","1","","1","12","Y","FORD","2007","02","1","","4","00","N","999","0","","1","01","08","16","07","PA","1","01","1FAFP53U77A","P4D"
"","","","2019007060","","","","","","","","","","1","","","","","","","","1","31","","","","","2","","",""
"","41","N","2019008164","3","1","","2","12","Y","FORD","2006","02","1","","3","00","S","999","0","","1","01","03","17","01","PA","1","07","1FTNS24L96H","TEC"
"","04","N","2019008200","3","1","","1","01","Y","FORD","2013","01","1","","1","00","E","999","0","","1","01","07","08","07","PA","1","01","1FADP3F26DL","P4D"
"","05","N","2019007195","3","1","","1","12","Y","HYUN","2014","01","1","","1","00","N","999","0","","1","01","07","01","07","GA","1","01","KMHCU5AE4EU","P4H"
"","15","N","2019007254","3","1","","3","01","Y","PONT","2007","01","2","","4","00","S","999","0","","1","01","12","16","11","PA","1","06","2CKDL73FX76","T4W"
"","15","N","2019006402","3","1","","1","12","Y","TOYT","2010","01","1","","1","00","N","999","0","","2","01","07","01","08","PA","1","01","JTEJW3EH6A2","T4W"
"","04","N","2019008327","3","1","","3","12","Y","CHEV","2008","01","1","","1","00","W","040","0","","1","01","02","01","06","PA","1","01","2G1WT58N989","P4D"
"","09","N","2019006482","3","1","","1","12","Y","TOYT","2018","01","3","","1","00","N","020","0","","2","01","02","01","03","PA","1","01","4T1BZ1HK0JU","P"
"","51","N","2019007510","3","1","","3","07","Y","NISS","2010","01","1","","3","00","N","030","0","","1","01","07","17","01","PA","1","04","1N6BD0CT2AC","T4C"
"","51","N","2019005672","3","1","","3","03","U","DODG","2008","01","2","","1","00","E","999","0","","1","01","01","01","01","PA","1","04","1D7HU182X8J","TCW"
"","51","N","2019007607","1","1","","1","12","Y","FORD","2017","02","1","","2","00","W","000","0","","3","01","12","03","01","CA","2","04","1FTFX1EF0HK","T4C"
"","04","N","2019008497","3","1","","1","11","Y","NISS","2012","02","1","","1","00","W","999","0","","2","01","07","01","01","PA","2","01","3N1AB6AP7CL","P4D"
"","05","N","2019007640","3","1","","1","12","Y","FORD","2014","02","2","","1","00","N","999","0","","1","01","02","02","03","PA","1","01","1FADP3K26EL","P4H"
"","04","N","2019007732","3","1","","2","12","Y","CADI","2012","01","1","","1","00","N","035","0","","1","01","07","01","07","PA","1","01","1G6DG5E55C0","P4D"
